col_all,ngram_col_all,default_col_all,p_global_col_all,col_minus1,ngram_col_minus1,default_col_minus1,p_global_col_minus1,col_1,ngram_col_1,default_col_1,p_global_col_1,word,ngram_word,default_word,p_global_word,n
0.12492062534197067,E,0.0074232438491183455,0.12492062534197067,0.20134006864606535,E,0.0019425160032328066,0.042027540960974684,0.1597774669605735,T,0.004120097368053532,0.033351801668105314,0.6865133511675412,A,0.001632808800330208,0.004296355569364632,1
0.0927556484289489,T,0.0074232438491183455,0.0927556484289489,0.1290293085716578,S,0.0019425160032328066,0.026933459333890835,0.1168166348802091,A,0.004120097368053532,0.024384197047144274,0.17419800216234888,I,0.001632808800330208,0.0010901704322131256,1
0.08040605150731232,A,0.0074232438491183455,0.08040605150731232,0.0998109506296555,D,0.0019425160032328066,0.020834446139559537,0.076309929632569,O,0.004120097368053532,0.01592886460667532,0.025554287234577425,S,0.001632808800330208,0.0001599244997853309,1
0.076406929387264,O,0.0074232438491183455,0.076406929387264,0.09310044523367093,N,0.0019425160032328066,0.019433701408045834,0.07294056329084231,I,0.004120097368053532,0.015225546171891348,0.010913061455314852,C,0.001632808800330208,6.829640280501696e-05,1
0.07569277540220806,I,0.0074232438491183455,0.07569277540220806,0.08970704625889286,T,0.0019425160032328066,0.018725366423517152,0.0668613461923047,S,0.004120097368053532,0.01395657597963131,0.010728566961447588,B,0.001632808800330208,6.714179460272101e-05,1
0.07233629221774214,N,0.0074232438491183455,0.07233629221774214,0.060022494548563815,Y,0.0019425160032328066,0.012529040370270791,0.05497037174248263,W,0.004120097368053532,0.011474464897041455,0.007524245234568016,D,0.001632808800330208,4.708842568585725e-05,1
0.06512766562623011,S,0.0074232438491183455,0.06512766562623011,0.05899335798353289,R,0.0019425160032328066,0.012314219349139094,0.05238034169690723,C,0.004120097368053532,0.010933824404751137,0.006950734107678901,E,0.001632808800330208,4.349926355243021e-05,1
0.06279420706085999,R,0.0074232438491183455,0.06279420706085999,0.04714276550562804,F,0.0019425160032328066,0.00984053756226891,0.04433518880585437,B,0.004120097368053532,0.009254486581238204,0.0064614207367400854,T,0.001632808800330208,4.043702998796672e-05,1
0.05053301406632262,H,0.0074232438491183455,0.05053301406632262,0.04176971584142051,O,0.0019425160032328066,0.008718972111505137,0.04318712691755227,P,0.004120097368053532,0.009014841197381853,0.006212632282504415,M,0.001632808800330208,3.888005566382399e-05,1
0.0406898604777074,L,0.0074232438491183455,0.0406898604777074,0.034645457514857966,L,0.0019425160032328066,0.0072318609733714135,0.041996551888301904,H,0.004120097368053532,0.008766321659540168,0.006169597334824075,X,0.001632808800330208,3.8610733243758454e-05,1
0.038169582783224694,D,0.0074232438491183455,0.038169582783224694,0.029392075307755828,G,0.0019425160032328066,0.0061352747976670605,0.04026683139840961,F,0.004120097368053532,0.008405261393549211,0.005721306824678519,O,0.001632808800330208,3.5805230005283e-05,1
0.03343773688810862,C,0.0074232438491183455,0.03343773688810862,0.028190657982695436,A,0.0019425160032328066,0.00588449204895865,0.03826118596947295,M,0.004120097368053532,0.007986604809270381,0.0056239877260407635,N,0.001632808800330208,3.519618511092402e-05,1
0.02729701843405106,U,0.0074232438491183455,0.02729701843405106,0.02711869232156907,H,0.0019425160032328066,0.0056607309216544595,0.03174190875047521,D,0.004120097368053532,0.006625776871742353,0.0052562279981993205,L,0.001632808800330208,3.289466169231536e-05,1
0.02511760599410516,M,0.0074232438491183455,0.02511760599410516,0.01655584323175905,M,0.0019425160032328066,0.00345585150658399,0.028259854313608144,R,0.004120097368053532,0.005898936027503702,0.004845671291680695,V,0.001632808800330208,3.0325305117397387e-05,1
0.02403123383775965,F,0.0074232438491183455,0.02403123383775965,0.00821058881214225,W,0.0019425160032328066,0.001713870765697548,0.027991265075202,E,0.004120097368053532,0.005842870956627846,0.004793209238036895,P,0.001632808800330208,2.9996985739530195e-05,1
0.02135891018410595,P,0.0074232438491183455,0.02135891018410595,0.008020602045098692,K,0.0019425160032328066,0.001674213102482967,0.02415451175086452,L,0.004120097368053532,0.005041990592475351,0.004572866756332571,J,0.001632808800330208,2.861803273471534e-05,1
0.018693758446142437,G,0.0074232438491183455,0.018693758446142437,0.007520669480250651,I,0.0019425160032328066,0.0015698576381773933,0.022841789804202487,N,0.004120097368053532,0.004767974219307758,0.00443586544081647,F,0.001632808800330208,2.7760647566711176e-05,1
0.01675664190911723,W,0.0074232438491183455,0.01675664190911723,0.006032733417692576,C,0.0019425160032328066,0.0012592672314243314,0.016417121563643923,G,0.004120097368053532,0.0034268948730232255,0.004359795176053193,R,0.001632808800330208,2.728458267281957e-05,1
0.016649800974448417,Y,0.0074232438491183455,0.016649800974448417,0.005414989232446832,P,0.0019425160032328066,0.0011303198777087705,0.011832432021450073,U,0.004120097368053532,0.0024698909898735627,0.003566457099705715,Y,0.001632808800330208,2.231969385178237e-05,1
0.014846487698236691,B,0.0074232438491183455,0.014846487698236691,0.0038850320064656133,U,0.0019425160032328066,0.0008109580119069959,0.008240194736107063,V,0.004120097368053532,0.0017200506790674296,0.003265617600660416,H,0.001632808800330208,2.043697233586432e-05,1
0.035562033867788265,TH,0.005374492371471173,0.0281388475885516,0.08140838653048231,HE,0.007210993378149596,0.016483639750384894,0.11391157902025077,TH,0.00567050189817219,0.023064913972521046,0.23585318942716588,OF,0.0037146044686968997,0.008689778033962868,2
